Measure Type,Jurisdiction,Bill Type,Number,Special Session,Year,Document Type,Locality Name,Locality Type,State ID,Title,Fiscal Committee,Urgency Clause,Summary,Links,Associated Measures,Author/Source,CoAuthors,Code,Prefile Date,Intro Date,Last Amend Date,Gov Action,Qualification Date,Ballot Status,Election,Emergency Adopted Date,Adopted Date,Progress,Current Disposition,Effective Date,Chapter Number,Location,Hearing Date,Document,Contact,Citation,Last Status Date,Text Hits,Private File Name,Suppressed,Abortion,AbortionBans,FamilyPlanning,Insurance,Minors,Pregnancy,Providers,Newly Tracked,Change in Status
REGULATION,LA,,17373,,2025,,,,,Administration and Treatment of HIV,,,Implements the procedures and statewide protocol by which a State licensed pharmacist shall follow to dispense and or administer pre exposure and post exposure prophylaxis medications for the prevention of Human Immunodeficiency Virus (HIV) infection.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:LA202517373&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Health/Office of Public Health,,,,2025-01-20,,,,,,,2025-05-20,,,05/20/2025,,,,,"Dr. Samuel Burgess, Director, STD, HIV, and Hepatitis Program, Bureau of Infectious Disease, Health, 1450 Poydras St, Ste 2136, New Orleans, LA 70112, samuel.burgess@la.gov",LAC 48:I.Chapter 136,"05/20/2025 - Rule Adoption - Vol. 51, No. 5, Louisiana Register 05/20/2025 pp.668-673",0,Master,No,,,,,,Misc,,yes,yes
REGULATION,MA,,12117,,2024,,,,,Homeless Medical Respite Services and Billing,,,"Sets forth the requirements for homeless medical respite services, including establishing homeless medical respite as a new MassHealth provider type; relates to proposed amendments to 130 CMR 450; provides that Regulation 130 CMR 450 sets forth the administrative and billing rules and requirements for all MassHealth providers and lists the covered services for all MassHealth coverage types; provides that the amendments to 130 CMR 450 add new services to the list of covered services for each coverage type; provides that homeless medical respite services and doula services are added as covered services under the applicable coverage types.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:MA202412117&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Executive Office of Health and Human Services/Division of Medical Assistance,,,,2024-09-27,,,,,,,2025-01-03,,,01/03/2025,,,,,"EOHHS, c/o D. Briggs, 100 Hancock Street, 6th Floor, Quincy, MA 02171, ehs-regulations@mass.gov","130 CMR 450, 458","01/03/2025 - Rule Adoption - Issue 1538, Massachusetts Register 01/03/2025",0,Master,No,,,,InsMisc,,Doula,,no,yes
REGULATION,MA,,12133,,2024,,,,,Substance Use Disorder Treatment Services,,,Updates the language and requirements for substance abuse treatment services for enrolled MassHealth providers.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:MA202412133&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Executive Office of Health and Human Services/Division of Medical Assistance,,,,2024-10-25,,,,,,,2025-03-28,,,03/28/2025,,,,,"EOHHS, c/o D. Briggs, 100 Hancock Street, 6th Floor, Quincy, MA 02171, masshealthpublicnotice@mass.gov",130 CMR 418,"03/28/2025 - Rule Adoption - Issue 1544, Massachusetts Register 03/28/2025",0,Master,No,,,,,,SubstanceUse,,no,yes
REGULATION,MA,,12147,,2024,,,,,Doula Services,,,"This regulation intends to allow non-doula group practices to bill for doula services, allow doulas to join such group practices, clarifies that group doula visits are a non-covered service, and establishes that doula services are covered for eligible adoptive parents until the adopted infant reaches one year of age.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:MA202412147&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Executive Office of Health and Human Services/Office of Medicaid,,,,2024-11-22,,,,,,2024-11-22,2025-01-03,,,11/08/2024,,,,,"EOHHS, c/o D. Briggs, 100 Hancock Street, 6th Floor, Quincy, MA 02171, ehs-regulations@mass.gov",130 CMR 463.00,"01/31/2025 - Notice of Correction to Adopted Rule - Issue 1540, Massachusetts Register 01/31/2025",0,Master,No,,,,,,Doula,,no,yes
REGULATION,MD,,126110,,2024,,,,24-200,Pharmacy Services,,,Includes coverage of legend drugs that are not otherwise covered (including drugs authorized for import by the US Food and Drug Administration) when medically necessary during drug shortages identified by the US Food and Drug Administration; removes limitations of ovulation stimulants in instances of iatrogenic infertility.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:MD2024126110&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Health/Medical Care Programs,,,,2024-12-13,,,,,,,2025-02-26,,,03/31/2025,,,,,"Jordan Fisher Blotter, Director, Office of Regulation and Policy Coordination, Office of Regulation and Policy Coordination, Department of Health, 201 W Preston St, Rm 534, Baltimore, MD 21201, 410-767-0938, mdh.regs@maryland.gov","COMAR 10.09.03.04, .05","02/26/2025 - Adopted Rule Notice - Vol. 52, Issue 6, Maryland Register 03/21/2025; 02/26/2025 - Notice of Final Action - Vol. 52, Issue 6, Maryland Register 03/21/2025",0,Master,No,,,,Infertility,,,,no,yes
REGULATION,MD,,126112,,2024,,,,24-202,Family Planning and Non-Capitated Covered Services,,,"Expands Medical Assistance benefits to include coverage of abortions performed in accordance with the Health-General Article, Section 15-103, Annotated Code of Maryland for pregnant women and individuals enrolled in the Family Planning Program.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:MD2024126112&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Health,,,,2024-12-13,,,,,,,2025-02-28,,,03/31/2025,,,,,"Jordan Fisher Blotter, Director, Office of Regulation and Policy Coordination, Office of Regulation and Policy Coordination, Department of Health, 201 W Preston St, Rm 534, Baltimore, MD 21201, 410-767-0938, mdh.regs@maryland.gov","COMAR 10.09.58.05, .06; .67.08.03","02/28/2025 - Adopted Rule Notice - Vol. 52, Issue 6, Maryland Register 03/21/2025; 02/28/2025 - Notice of Final Action - Vol. 52, Issue 6, Maryland Register 03/21/2025",0,Master,No,,,,AbortionCoverage; FamilyPlanning,,,,no,yes
REGULATION,ME,,12802,,2024,,,,,Various Rules of the Board,,,"Establishes rules relating to administering vaccines; relates to the sale of non prescription drugs through vending machines; relates to standards for authorizing pharmacists in prescribing, dispensing and administering HIV prevention drugs and requirements to increase access to birth control.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:ME202412802&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Professional and Financial Regulation/Office of Professional and Occupational Regulation/Board of Pharmacy,,,,2024-07-10,,,,,,,,,,01/01/2025,,,,,"Jeri Betts, Regulatory Board Manager, 35 State House Station, Augusta, ME 04333-0035, 207-624-8625, Geraldine.L.Betts@Maine.gov","02-392-7, -41, -43, -44",01/01/2025 - Adopted Partial Rule Filing - Weekly Newspaper Notices 01/01/2025; 01/01/2025 - Adopted Partial Rule Filing - Weekly Newspaper Notices 01/01/2025; 01/01/2025 - Adopted Partial Rule Filing - Weekly Newspaper Notices 01/01/2025,0,Master,No,,,Misc,,,,,no,yes
REGULATION,ME,,12914,,2024,,,,,HIV Prevention Drugs,,,"Establishes standards authorizing pharmacists to prescribe, dispense and administer HIV prevention drugs, sets adequate training requirements and protocols for when there is no prescription drug order, standing order or collaborative practice agreement.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:ME202412914&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Professional and Financial Regulation/Office of Professional and Occupational Regulation/Board of Pharmacy,,,,2024-12-11,,,,,,,2025-05-07,,,05/06/2025,,,,,"Jeri Betts, Regulatory Board Manager, 35 State House Station, Augusta, ME 04333-0035, 207-624-8625, Geraldine.L.Betts@Maine.gov",02-392-43,05/08/2025 - Adopted Rule - Board of Pharmacy 05/08/2025,0,Master,No,,,PharmacyOCPrEP,,,,,yes,yes
REGULATION,MI,,4610,,2024,,,,2023-36,General Rules for Osteopathic Medicine and Surgery,,,"Amends rule to provide revisions to follow current drafting standards; removal of the prohibition on delegation of a drug or device individually, in combination, or in succession, for a woman known to be pregnant with the intention of causing either a miscarriage or fetal death; updates to accreditation standards; edits to decrease the number of allowed attempts to pass any level of the COMLEX-USA from six attempts to four attempts; removal of the requirement that an applicant shall successfully pass all steps of the COMLEX-USA within seven years after the date the applicant first passed a step of the COMLEX-USA; and clarification of the period in which a licensee must request a waiver of continuing education.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:MI20244610&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Licensing and Regulatory Affairs/Director's Office,,,,2024-06-01,,,,,,,2025-05-08,,,05/08/2025,,,,,"Departmental Specialist, P.O. Box 30670, Lansing, MI 48909-8170, BPL-BoardSupport@michigan.gov",R. 338.111 through R. 338.143,05/08/2025 - Rule Adoption - Department of Licensing and Regulatory Affairs/Office of Regulatory Reinvention 05/08/2025,0,Master,No,MedicationAbortion,,,,,,,no,yes
REGULATION,MO,,28436,,2024,,,,49 MOREG 1513,Doula Services,,,This rule establishes the Department of Social Services' MO HealthNet Division guidelines regarding coverage and reimbursement for community doula services. The goal of these services is to provide a stable source of psychosocial support and education throughout the perinatal period and during the birth utilizing specially trained lay providers to enhance relevant knowledge and encourage healthy behaviors that can lead to improved pregnancy-related outcomes.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:MO202428436&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Social Services/MO HealthNet Division,,,,2024-08-07,,,,,,2024-09-16,2025-03-03,,,09/30/2024;04/30/2025,,,,,"Department of Social Services, Legal Services Division-Rulemaking, PO Box 1527, Jefferson City, MO 65102-1527, Rules.Comment@dss.mo.gov",13 CSR 70-25.160,"03/03/2025 - Adopted Rule Notice - Vol. 50, No. 5, Missouri Register 03/03/2025 p.386; 03/03/2025 - Rule Adoption - Code of State Regulations 03/31/2025",0,Master,No,,,,,,Doula,,no,yes
REGULATION,MO,,28608,,2025,,,,50 MOREG 538,Complication Plans for Certain Drug-Induced Abortions,,,"This rule establishes the standards governing complication plans required by section 188.021, RSMo. This rule also explains the process for submitting such complication plans to the Department of Health and Senior Services for approval.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:MO202528608&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Health and Senior Services/Division of Regulation and Licensure,,,,2025-03-13,,,,,,2025-03-13,,,,03/27/2025,,,,,"Missouri Department of Health and Senior Services, PO Box 570, Jefferson City, MO 65102",19 CSR 30-30.062,"03/13/2025 - No published proposal - Office of the Secretary of State 04/01/2025; 03/13/2025 - Emergency Rule Adoption - Office of the Secretary of State 04/01/2025; 03/13/2025 - Proposed Rule - Comment Deadline: 05/15/2025 - Vol. 50, No. 8, Missouri Register 04/15/2025 pp.538-542",0,Master,No,MedicationAbortion,,,,,,,yes,yes
REGULATION,NJ,,23636,,2024,,,,56 NJR 1067,Credit-Hour Requirements and Bias Training,,,"Amends rules to implement P.L. 2021, c. 79, which requires that the number of continuing education credits required of a licensed physician assistant who provides perinatal treatment and care to pregnant persons, as a condition of biennial renewal, include one credit of educational programs or topics concerning explicit and implicit bias.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202423636&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Law and Public Safety/Division of Consumer Affairs/Board of Medical Examiners/Physician Assistant Advisory Committee,,,,2024-06-17,,,,,,,2025-04-10,,,05/05/2025,,,,,"Antonia Winstead, Executive Director, State Board of Medical Examiners, PO Box 183, Trenton, NJ 08625-0183",NJAC 13:35-2B.8,"04/10/2025 - Rule Adoption - Vol. 57, No. 9, New Jersey Register 05/05/2025 pp.923-924",0,Master,No,,,,,,Misc,,no,yes
REGULATION,NJ,,23660,,2024,,,,56 NJR 1228,Midwifery Bias Continuing Education,,,"Establishes rules to enact P.L. 2021, c. 79, which requires midwives who were licensed prior to November 1, 2021, to complete one credit of continuing education concerning explicit and implicit bias.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202423660&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Law and Public Safety/Division of Consumer Affairs/Board of Medical Examiners,,,,2024-07-15,,,,,,,2025-04-23,,,05/19/2025,,,,,"Antonia Winstead, Executive Director, Board of Medical Examiners, 140 East Front Street, 2nd Floor, PO Box 183, Trenton, NJ 08625",NJAC 13:35-2A.7A,"04/23/2025 - Rule Adoption - Vol. 57, No. 10, New Jersey Register 05/19/2025 p.1027",0,Master,No,,,,,,Midwives,,no,yes
REGULATION,NJ,,23661,,2024,,,,56 NJR 1230,Explicit and Implicit Bias Continuing Education,,,"Amends rules to enact P.L. 2021, c. 79, which requires physicians who provide perinatal treatment and care to pregnant persons to complete one credit of continuing education concerning explicit and implicit bias.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202423661&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Law and Public Safety/Division of Consumer Affairs/Board of Medical Examiners,,,,2024-07-15,,,,,,,2025-04-10,,,05/05/2025,,,,,"Antonia Winstead, Executive Director, Board of Medical Examiners, 140 East Front Street, 2nd Floor, PO Box 183, Trenton, NJ 08625",NJAC 13:35-6.15,"04/10/2025 - Rule Adoption - Vol. 57, No. 9, New Jersey Register 05/05/2025 pp.927-928",0,Master,No,,,,,,Misc; MaternalMortality,,no,yes
REGULATION,NJ,,23662,,2024,,,,56 NJR 1231,Explicit and Implicit Bias Continuing Education,,,"Amends rules to enact P.L. 2021, c. 79, which requires nurses who provide perinatal treatment and care to pregnant persons to complete one credit of continuing education concerning explicit and implicit bias.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202423662&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Law and Public Safety/Division of Consumer Affairs/Board of Nursing,,,,2024-07-15,,,,,,,2025-06-09,,,07/07/2025,,,,,"Mary Fortier, Executive Director, State Board of Nursing, Post Office Box 45010, Newark, New Jersey 07101",NJAC 13:37-5.3,"06/09/2025 - Rule Adoption - Vol. 57, No. 13, New Jersey Register 07/07/2025 p.1419",0,Master,No,,,,,,Misc; MaternalMortality,,no,yes
REGULATION,NJ,,23706,,2024,,,,56 NJR 1654,AIDS Drug Distribution and HIV Screening,,,"Amends rules to delete descriptive text that is redundant of defined terms and add instead the defined terms, to add or update contact information, to improve grammar and readability, and to reorganize sections to enhance their consistency with the authorizing statutes.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202423706&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,"Department of Health/Public Health Services Branch/Division of HIV, STD, and TB Services",,,,2024-08-19,,,,,,,2024-12-11,,,01/06/2025,,,,,"Kimberly E. Jenkins, Director, Office of Legal and Regulatory Compliance, Office of the Commissioner, New Jersey Department of Health, PO Box 360, Trenton, NJ 08625-0360","NJAC 8:61; 8:61-2, 3.2, 4.4, 4.5, 4.7, 4.8, 5; 8:61-3.1, 3.5, 4.1, 4.2, 4.3; 8:61-1.1, 1.3, 3.6, 8:61 Appendices A, B, C","12/11/2024 - Readopted Rule with Amendments - Vol. 57, No. 1, New Jersey Register 01/06/2025 pp.29-52",0,Master,No,,,,HIV,,Misc,,no,yes
REGULATION,NJ,,23852,,2025,,,,57 NJR 164,County Correctional Facilities,,,Readopts rules with amendments to ensure that the use of force is used only in a manner compliant with the Attorney General's Use of Force Policy.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202523852&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Corrections/Office of the Commissioner,,,,2025-01-21,,,,,,,2025-05-06,,,06/02/2025,,,,,"Kathleen Cullen, Administrative Rules Unit, New Jersey Department of Corrections, PO Box 863, Trenton, New Jersey 08625-0863, ARU@doc.nj.gov",NJAC 10A:31,"05/06/2025 - Readopted Rule with Amendments - Vol. 57, No. 11, New Jersey Register 06/02/2025 pp.1141-1145",0,Master,No,,,,,,Incarceration,,yes,yes
REGULATION,NJ,,23862,,2025,,,,57 NJR 196,Health Care Quality Act Application,,,"Readopts rules regarding Health Care Quality Act application to insurance companies, health service corporations, hospital service corporations, and medical service corporations.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202523862&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Banking and Insurance/Division of Insurance,,,,2025-01-21,,,,,,,2025-01-21,,,12/19/2024,,,,,"Denise Illes, Chief, Office of Regulatory Affairs, New Jersey Department of Banking and Insurance, 20 West State St, PO Box 325, Trenton, NJ 08625-0325, Fax: 609-292-0896, legsregs@dobi.nj.gov",NJAC 11:24A,"01/21/2025 - No published proposal - Vol. 57, No. 2, New Jersey Register 01/21/2025; 01/21/2025 - Readopted Rule without Change - Vol. 57, No. 2, New Jersey Register 01/21/2025 pp.196-197",0,Master,No,,,,AbortionCoverage,,,,yes,yes
REGULATION,NJ,,23943,,2025,,,,57 NJR 889,Explicit and Implicit Bias Training,,,"Amends rules to implement P.L. 2021, c. 79, which requires hospitals providing inpatient maternity services and birthing centers to implement an explicit and implicit bias training program for health care professionals who provide perinatal treatment and care to pregnant persons at the hospital or birthing center.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NJ202523943&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Health/Health Systems Branch/Division of Certificate of Need and Licensing,,,,2025-05-05,,,,,,,,,,,,,,,"Kimberly E. Jenkins, Director, Office of Legal and Regulatory Compliance, Office of the Commissioner, New Jersey Department of Health, PO Box 360, Trenton, NJ 08625-0360","NJAC 8:43E-3.4; 8:43A-28.14, 8:43G-19.39","05/05/2025 - Proposed Rule - Comment Deadline: 07/04/2025 - Vol. 57, No. 9, New Jersey Register 05/05/2025 pp.889-894",0,Master,No,,,,,,MaternalMortality,,yes,yes
REGULATION,NM,,7887,,2024,,,,,General Benefit Description,,,"Implements emergency amendments to rule concerning Health Care Professional Services, General Benefit Description.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NM20247887&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Human Services Department/Medical Assistance Division,,,,2024-12-23,,,,,,2024-12-23,2025-06-24,,,01/01/2025;07/12/2025,,,,,"Medical Assistance Div Public Comments, Human Services Dept, Office of the Secretary, PO  Box 2348, Santa Fe, NM 87504-2348, HSD-madrules@hsd.nm.gov",NMAC 8.310.2,"06/24/2025 - Rule Adoption - Vol. XXXVI, No. 12, New Mexico Register 06/24/2025",0,Master,No,,,,,,Doula; Misc,,yes,yes
REGULATION,NM,,7890,,2025,,,,,"Family Planning Services, Recipient Requirements",,,"Removes age restrictions to the family planning services, recipient requirements.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:NM20257890&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Human Services Department/Medical Assistance Division,,,,2025-01-28,,,,,,,2025-06-10,,,07/01/2025,,,,,"Medical Assistance Div Public Comments, Human Services Dept, Office of the Secretary, PO  Box 2348, Santa Fe, NM 87504-2348, HSD-madrules@hsd.nm.gov",NMAC 8.299.400,"06/10/2025 - Rule Adoption - Vol. XXXVI, No. 11, New Mexico Register 06/10/2025",0,Master,No,,,Misc,,,,,yes,yes
REGULATION,OH,,27489,,2024,,,,,Reproductive Health Services,,,Relates to reproductive health services: pregnancy-related services.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:OH202427489&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Medicaid,,,,2024-11-15,,,,,,,2025-03-21,,,04/01/2025,,,,,"Tommi Potter, 614-752-3877",OAC 5160-21-04,03/21/2025 - Rule Adoption - Register of Ohio Daily Filings 03/21/2025,0,Master,No,,,,,,Misc,,no,yes
REGULATION,OH,,27530,,2024,,,,,Approval Process,,,"Relates to approval process,",http://custom.statenet.com/public/resources.cgi?id=ID:reg:OH202427530&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Youth Services,,,,2024-12-12,,,,,,,2025-03-13,,,03/24/2025,,,,,"Ellen Miller, 614-728-4931","OAC 5139-35-02 thru -19 non seq., administration, organization and management, personnel, security and control, food service, prgram, visiting and communications,",03/13/2025 - Rule Adoption - Register of Ohio Daily Filings 03/13/2025,0,Master,No,,,,,Misc,,,no,yes
REGULATION,OH,,27962,,2025,,,,,Doula Services,,,Establishes Medicaid payment for services by a doula.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:OH202527962&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Medicaid,,,,2025-07-15,,,,,,,,,,,,,2025-08-14,,"Tommi Potter, 50 Town St, 4th flr, Columbus, OH 43218-2709, 614-752-3877, tommi.potter@medicaid.ohio.go",OAC 5160-8-43,07/15/2025 - Proposed Rule - Register of Ohio Daily Filings 07/16/2025; 07/15/2025 - Revised Filing - Changes Proposed - Register of Ohio Daily Filings 07/16/2025,0,Master,No,,,,,,Doula,,yes,yes
REGULATION,OK,,21638,,2024,,,,,Medical Providers Fee for Service,,,"This rule includes that abortion services can be accessed in instances of rape, incest, and/or when the mother's life is in danger, however, the exceptions of rape and incest will be removed in accordance with state law.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:OK202421638&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Health Care Authority,,,,2024-11-08,,,,,,,2025-05-28,,,09/01/2025,,,,,"Sean Webster, Senior Policy & Program Advisor, 405-522-7227, petitions@okhca.org",OAC 317:30-5-50,"05/28/2025 - Permanent Final Adoptions - Vol. 42, No. 21, Oklahoma Register 07/15/2025",0,Master,No,,Misc,,,,,,no,yes
REGULATION,OR,,52203,,2024,,,,,Doula Services,,,The rule change is intended to update rules to include additional doula support visits and align with the state plan amendment starting 2025.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:OR202452203&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Health Authority/Health Systems Division/Medical Assistance Programs,,,,2024-08-22,,,,,,,2025-01-07,,,01/07/2025,,,,,"Martha Martinez-Camacho, Oregon Health Authority, Health Systems Division, Medical Assistance Programs, 500 Summer Street NE, Salem, OR 97301, 503-559-0830, hsd.rules@oha.oregon.gov",OAR 410-130-0015,01/07/2025 - Rule Adoption - Oregon Daily Filings 01/07/2025,0,Master,No,,,,,,Doula,,no,yes
REGULATION,OR,,52435,,2024,,,,,Non-Emergent Medical Transportation Coverage,,,Establishing Non-Emergent Medical Transportation (NEMT) coverage for Reproductive Health Access Fund enrollees.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:OR202452435&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Health Authority/Health Systems Division/Medical Assistance Programs,,,,2024-10-22,,,,,,,2024-12-30,,,01/01/2025,,,,,"Martha Martinez-Camacho, Oregon Health Authority, Health Systems Division, Medical Assistance Programs, 500 Summer Street NE, Salem, OR 97301, 503-559-0830, hsd.rules@oha.oregon.gov",OAR 410-136-3000 through -3340 (non seq.),12/30/2024 - Rule Adoption - Oregon Daily Filings 01/01/2025,0,Master,No,,,,InsMisc,,,,no,yes
REGULATION,OR,,52731,,2024,,,,,Services: Prescribing - Protocol Compendium,,,"Revises Contraception, Coronavirus 19, Hepatitis B, Meningococcal, Pneumococcal, RSV protocols; Repeals VVC protocol.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:OR202452731&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Board of Pharmacy,,,,2024-12-17,,,,,,2024-12-17,,,,12/17/2024,,,,,"Rachel Melvin, Board of Pharmacy, 800 NE Oregon St., Suite 150, Portland, OR 97232, 971-673-0001, pharmacy.rulemaking@bop.oregon.gov",OAR 855-115-0345,12/17/2024 - No published proposal - Oregon Daily Filings 12/18/2024; 12/17/2024 - Temporary Rule Adoption - Oregon Daily Filings 12/18/2024,0,Master,No,,,PharmacyAccess,,,,,yes,no
REGULATION,OR,,52809,,2025,,,,,Maternity Case Management,,,Revises Physician Assistant to Physician Associate; relates to the Board of Medicine.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:OR202552809&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Health Authority/Health Systems Division/Medical Assistance Programs,,,,2025-01-09,,,,,,,2025-01-09,,,01/09/2025,,,,,"Martha Martinez-Camacho, Oregon Health Authority, Health Systems Division, Medical Assistance Programs, 500 Summer Street NE, Salem, OR 97301, 503-559-0830, hsd.rules@oha.oregon.gov",OAR 410-130-0595,01/09/2025 - No published proposal - Oregon Daily Filings 01/09/2025; 01/09/2025 - Rule Adoption - Oregon Daily Filings 01/09/2025,0,Master,No,,,,,,Misc,,yes,yes
REGULATION,RI,,9830,,2024,,,,,Home Care and Home Health Providers,,,Outlines the requirements and limitations pertaining to home care and home health provider participation in and payment by the State Medicaid program.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:RI20249830&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Executive Office of Health and Human Services,,,,2024-11-26,,,,,,,2025-05-14,,,06/03/2025,,,,,"Katy Thomas, Executive Office of Health and Human Services, Virks Building, 3 West Rd., Cranston, RI 02920, kathryn.thomas@ohhs.ri.gov",210-RICR-20-05-1,05/14/2025 - Rule Adoption - Secretary of State Rules Database 05/14/2025,0,Master,No,,,,,,Misc,,no,yes
REGULATION,RI,,9952,,2025,,,,,Payments for Sterilization and Hysterectomy Services,,,New regulation to describe requirements and limitations pertaining to Medicaid payments for sterilization and hysterectomy services to provide clarity and transparency regarding federal and state Medicaid requirements for these services.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:RI20259952&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Executive Office of Health and Human Services,,,,2025-07-10,,,,,,,,,,,,,,,"Katy Thomas, Executive Office of Health and Human Services, Virks Building, 3 West Rd., Cranston, RI 02920, kathryn.thomas@ohhs.ri.gov",210-RICR-20-00-4,07/10/2025 - Proposed Rule - Comment Deadline: 08/09/2025 - Secretary of State Rules Database 07/10/2025,0,Master,No,,,Sterilization,,,,,yes,yes
